distribution;sample_credible_set
Height (LogNormal), Ratios (TreeDirichletDist);0.1301
Height (LogNormal), Ratios (TreeDirichletDist);0.9998
Height (LogNormal), Ratios (TreeDirichletDist);0.8006
Height (LogNormal), Ratios (TreeDirichletDist);1.0
Height (LogNormal), Ratios (TreeDirichletDist);0.06159999999999999
Height (LogNormal), Ratios (TreeDirichletDist);0.19510000000000005
Height (LogNormal), Ratios (TreeDirichletDist);0.9998
Height (LogNormal), Ratios (TreeDirichletDist);0.5204
Height (LogNormal), Ratios (TreeDirichletDist);0.7253000000000001
Height (LogNormal), Ratios (TreeDirichletDist);0.12409999999999999
Height (LogNormal), Ratios (TreeDirichletDist);0.7776000000000001
Height (LogNormal), Ratios (TreeDirichletDist);0.9056
Height (LogNormal), Ratios (TreeDirichletDist);0.09240000000000004
Height (LogNormal), Ratios (TreeDirichletDist);0.12219999999999998
Height (LogNormal), Ratios (TreeDirichletDist);0.7708
Height (LogNormal), Ratios (TreeDirichletDist);0.03869999999999996
Height (LogNormal), Ratios (TreeDirichletDist);0.37470000000000003
Height (LogNormal), Ratios (TreeDirichletDist);0.22019999999999995
Height (LogNormal), Ratios (TreeDirichletDist);0.07820000000000005
Height (LogNormal), Ratios (TreeDirichletDist);1.0
Height (LogNormal), Ratios (TreeDirichletDist);1.0
Height (LogNormal), Ratios (TreeDirichletDist);0.987
Height (LogNormal), Ratios (TreeDirichletDist);0.18169999999999997
Height (LogNormal), Ratios (TreeDirichletDist);0.05289999999999995
Height (LogNormal), Ratios (TreeDirichletDist);0.5798
Height (LogNormal), Ratios (TreeDirichletDist);0.2994
Height (LogNormal), Ratios (TreeDirichletDist);0.19799999999999995
Height (LogNormal), Ratios (TreeDirichletDist);0.8704000000000001
Height (LogNormal), Ratios (TreeDirichletDist);0.19140000000000001
Height (LogNormal), Ratios (TreeDirichletDist);0.05030000000000001
Height (LogNormal), Ratios (TreeDirichletDist);0.13970000000000005
Height (LogNormal), Ratios (TreeDirichletDist);0.46940000000000004
Height (LogNormal), Ratios (TreeDirichletDist);0.1624
Height (LogNormal), Ratios (TreeDirichletDist);0.8928
Height (LogNormal), Ratios (TreeDirichletDist);0.24450000000000005
Height (LogNormal), Ratios (TreeDirichletDist);0.32630000000000003
Height (LogNormal), Ratios (TreeDirichletDist);1.0
Height (LogNormal), Ratios (TreeDirichletDist);0.6066
Height (LogNormal), Ratios (TreeDirichletDist);0.5794
Height (LogNormal), Ratios (TreeDirichletDist);0.3015
Height (LogNormal), Ratios (TreeDirichletDist);0.23529999999999995
Height (LogNormal), Ratios (TreeDirichletDist);0.5594
Height (LogNormal), Ratios (TreeDirichletDist);0.21040000000000003
Height (LogNormal), Ratios (TreeDirichletDist);0.995
Height (LogNormal), Ratios (TreeDirichletDist);0.6065
Height (LogNormal), Ratios (TreeDirichletDist);0.4245
Height (LogNormal), Ratios (TreeDirichletDist);1.0
Height (LogNormal), Ratios (TreeDirichletDist);0.028100000000000014
Height (LogNormal), Ratios (TreeDirichletDist);0.052000000000000046
Height (LogNormal), Ratios (TreeDirichletDist);0.9996
Height (LogNormal), Ratios (TreeDirichletDist);0.9999
Height (LogNormal), Ratios (TreeDirichletDist);1.0
Height (LogNormal), Ratios (TreeDirichletDist);0.7879
Height (LogNormal), Ratios (TreeDirichletDist);0.9994
Height (LogNormal), Ratios (TreeDirichletDist);0.4306
Height (LogNormal), Ratios (TreeDirichletDist);0.2954
Height (LogNormal), Ratios (TreeDirichletDist);0.10850000000000004
Height (LogNormal), Ratios (TreeDirichletDist);0.4383
Height (LogNormal), Ratios (TreeDirichletDist);0.46530000000000005
Height (LogNormal), Ratios (TreeDirichletDist);0.3236
Height (LogNormal), Ratios (TreeDirichletDist);0.12549999999999994
Height (LogNormal), Ratios (TreeDirichletDist);0.2257
Height (LogNormal), Ratios (TreeDirichletDist);0.1594
Height (LogNormal), Ratios (TreeDirichletDist);0.030399999999999983
Height (LogNormal), Ratios (TreeDirichletDist);0.7547
Height (LogNormal), Ratios (TreeDirichletDist);0.37039999999999995
Height (LogNormal), Ratios (TreeDirichletDist);0.251
Height (LogNormal), Ratios (TreeDirichletDist);0.22250000000000003
Height (LogNormal), Ratios (TreeDirichletDist);0.9943
Height (LogNormal), Ratios (TreeDirichletDist);1.0
Height (LogNormal), Ratios (TreeDirichletDist);0.08989999999999998
Height (LogNormal), Ratios (TreeDirichletDist);0.49119999999999997
Height (LogNormal), Ratios (TreeDirichletDist);0.5467
Height (LogNormal), Ratios (TreeDirichletDist);0.38070000000000004
Height (LogNormal), Ratios (TreeDirichletDist);0.6799
Height (LogNormal), Ratios (TreeDirichletDist);0.2268
Height (LogNormal), Ratios (TreeDirichletDist);0.9063
Height (LogNormal), Ratios (TreeDirichletDist);0.18769999999999998
Height (LogNormal), Ratios (TreeDirichletDist);0.1674
Height (LogNormal), Ratios (TreeDirichletDist);0.5587
Height (LogNormal), Ratios (TreeDirichletDist);0.007099999999999995
Height (LogNormal), Ratios (TreeDirichletDist);1.0
Height (LogNormal), Ratios (TreeDirichletDist);0.017299999999999982
Height (LogNormal), Ratios (TreeDirichletDist);0.46220000000000006
Height (LogNormal), Ratios (TreeDirichletDist);0.13549999999999995
Height (LogNormal), Ratios (TreeDirichletDist);0.6469
Height (LogNormal), Ratios (TreeDirichletDist);0.9994
Height (LogNormal), Ratios (TreeDirichletDist);1.0
Height (LogNormal), Ratios (TreeDirichletDist);0.41790000000000005
Height (LogNormal), Ratios (TreeDirichletDist);0.7464
Height (LogNormal), Ratios (TreeDirichletDist);0.9026
Height (LogNormal), Ratios (TreeDirichletDist);0.765
Height (LogNormal), Ratios (TreeDirichletDist);0.5315
Height (LogNormal), Ratios (TreeDirichletDist);0.46419999999999995
Height (LogNormal), Ratios (TreeDirichletDist);0.2116
Height (LogNormal), Ratios (TreeDirichletDist);0.5292
Height (LogNormal), Ratios (TreeDirichletDist);0.25429999999999997
Height (LogNormal), Ratios (TreeDirichletDist);0.7666999999999999
Height (LogNormal), Ratios (TreeDirichletDist);0.3909
Height (LogNormal), Ratios (TreeDirichletDist);0.24960000000000004
Height (LogNormal), Ratios (TreeDirichletDist);1.0
Height (LogNormal), Ratios (TreeDirichletDist);0.039100000000000024
Height (LogNormal), Ratios (TreeDirichletDist);0.08689999999999998
Height (LogNormal), Ratios (TreeDirichletDist);0.15239999999999998
Height (LogNormal), Ratios (TreeDirichletDist);0.13429999999999997
Height (LogNormal), Ratios (TreeDirichletDist);0.12380000000000002
Height (LogNormal), Ratios (TreeDirichletDist);0.8738
Height (LogNormal), Ratios (TreeDirichletDist);0.14329999999999998
Height (LogNormal), Ratios (TreeDirichletDist);0.7873
Height (LogNormal), Ratios (TreeDirichletDist);0.1532
Height (LogNormal), Ratios (TreeDirichletDist);0.37529999999999997
Height (LogNormal), Ratios (TreeDirichletDist);0.3638
Height (LogNormal), Ratios (TreeDirichletDist);0.9987
Height (LogNormal), Ratios (TreeDirichletDist);0.6839
Height (LogNormal), Ratios (TreeDirichletDist);0.3296
Height (LogNormal), Ratios (TreeDirichletDist);0.6048
Height (LogNormal), Ratios (TreeDirichletDist);0.9998
Height (LogNormal), Ratios (TreeDirichletDist);0.16379999999999995
Height (LogNormal), Ratios (TreeDirichletDist);0.02210000000000001
Height (LogNormal), Ratios (TreeDirichletDist);0.43910000000000005
Height (LogNormal), Ratios (TreeDirichletDist);0.8919
Height (LogNormal), Ratios (TreeDirichletDist);0.17500000000000004
Height (LogNormal), Ratios (TreeDirichletDist);0.46630000000000005
Height (LogNormal), Ratios (TreeDirichletDist);0.17369999999999997
Height (LogNormal), Ratios (TreeDirichletDist);0.32320000000000004
Height (LogNormal), Ratios (TreeDirichletDist);0.36360000000000003
Height (LogNormal), Ratios (TreeDirichletDist);0.4325
Height (LogNormal), Ratios (TreeDirichletDist);0.9996
Height (LogNormal), Ratios (TreeDirichletDist);0.5002
Height (LogNormal), Ratios (TreeDirichletDist);0.41979999999999995
Height (LogNormal), Ratios (TreeDirichletDist);1.0
Height (LogNormal), Ratios (TreeDirichletDist);1.0
Height (LogNormal), Ratios (TreeDirichletDist);0.22719999999999996
Height (LogNormal), Ratios (TreeDirichletDist);0.17620000000000002
Height (LogNormal), Ratios (TreeDirichletDist);0.34299999999999997
Height (LogNormal), Ratios (TreeDirichletDist);0.6779999999999999
Height (LogNormal), Ratios (TreeDirichletDist);0.15369999999999995
Height (LogNormal), Ratios (TreeDirichletDist);0.6343
Height (LogNormal), Ratios (TreeDirichletDist);0.683
Height (LogNormal), Ratios (TreeDirichletDist);0.9998
Height (LogNormal), Ratios (TreeDirichletDist);0.46919999999999995
Height (LogNormal), Ratios (TreeDirichletDist);0.4312
Height (LogNormal), Ratios (TreeDirichletDist);0.6789000000000001
Height (LogNormal), Ratios (TreeDirichletDist);0.9996
Height (LogNormal), Ratios (TreeDirichletDist);0.41979999999999995
Height (LogNormal), Ratios (TreeDirichletDist);0.24450000000000005
Height (LogNormal), Ratios (TreeDirichletDist);0.3409
Height (LogNormal), Ratios (TreeDirichletDist);0.9971
Height (LogNormal), Ratios (TreeDirichletDist);0.7154
Height (LogNormal), Ratios (TreeDirichletDist);0.17989999999999995
Height (LogNormal), Ratios (TreeDirichletDist);1.0
Height (LogNormal), Ratios (TreeDirichletDist);0.2591
Height (LogNormal), Ratios (TreeDirichletDist);0.16990000000000005
Height (LogNormal), Ratios (TreeDirichletDist);0.4616
