distribution;sample_credible_set
Height (LogNormal), Ratios (LogitNormal);0.6788000000000001
Height (LogNormal), Ratios (LogitNormal);0.9943
Height (LogNormal), Ratios (LogitNormal);0.5016
Height (LogNormal), Ratios (LogitNormal);0.6643
Height (LogNormal), Ratios (LogitNormal);0.6873
Height (LogNormal), Ratios (LogitNormal);0.2219
Height (LogNormal), Ratios (LogitNormal);0.11299999999999999
Height (LogNormal), Ratios (LogitNormal);0.5508
Height (LogNormal), Ratios (LogitNormal);0.5258
Height (LogNormal), Ratios (LogitNormal);0.36639999999999995
Height (LogNormal), Ratios (LogitNormal);0.9454
Height (LogNormal), Ratios (LogitNormal);0.42989999999999995
Height (LogNormal), Ratios (LogitNormal);0.7187
Height (LogNormal), Ratios (LogitNormal);0.1854
Height (LogNormal), Ratios (LogitNormal);0.583
Height (LogNormal), Ratios (LogitNormal);0.13149999999999995
Height (LogNormal), Ratios (LogitNormal);0.6569
Height (LogNormal), Ratios (LogitNormal);0.4053
Height (LogNormal), Ratios (LogitNormal);0.7706
Height (LogNormal), Ratios (LogitNormal);0.7927
Height (LogNormal), Ratios (LogitNormal);0.8616
Height (LogNormal), Ratios (LogitNormal);0.6779999999999999
Height (LogNormal), Ratios (LogitNormal);0.6151
Height (LogNormal), Ratios (LogitNormal);0.6798
Height (LogNormal), Ratios (LogitNormal);0.08240000000000003
Height (LogNormal), Ratios (LogitNormal);0.6062000000000001
Height (LogNormal), Ratios (LogitNormal);0.3315
Height (LogNormal), Ratios (LogitNormal);0.15190000000000003
Height (LogNormal), Ratios (LogitNormal);0.16900000000000004
Height (LogNormal), Ratios (LogitNormal);0.8966
Height (LogNormal), Ratios (LogitNormal);0.2872
Height (LogNormal), Ratios (LogitNormal);0.7999
Height (LogNormal), Ratios (LogitNormal);0.9801
Height (LogNormal), Ratios (LogitNormal);0.025800000000000045
Height (LogNormal), Ratios (LogitNormal);0.49
Height (LogNormal), Ratios (LogitNormal);0.2753
Height (LogNormal), Ratios (LogitNormal);0.7801
Height (LogNormal), Ratios (LogitNormal);0.8689
Height (LogNormal), Ratios (LogitNormal);0.858
Height (LogNormal), Ratios (LogitNormal);0.8794
Height (LogNormal), Ratios (LogitNormal);0.26060000000000005
Height (LogNormal), Ratios (LogitNormal);0.6093999999999999
Height (LogNormal), Ratios (LogitNormal);0.7899
Height (LogNormal), Ratios (LogitNormal);0.3468
Height (LogNormal), Ratios (LogitNormal);0.9256
